"name","style","charId","charString","charImage"
"T2","S","1"," ","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"T4","S","1"," ","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"T6","S","1"," ","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"Times-Bold","BS","20"," ",""
"Times-Bold","BS","28","(",""
"Times-Bold","BS","29",")",""
"Times-Bold","BS","2E",".",""
"Times-Bold","BS","30","0",""
"Times-Bold","BS","31","1",""
"Times-Bold","BS","32","2",""
"Times-Bold","BS","33","3",""
"Times-Bold","BS","34","4",""
"Times-Bold","BS","37","7",""
"Times-Bold","BS","38","8",""
"Times-Bold","BS","39","9",""
"Times-Bold","BS","3A",":",""
"Times-Bold","BS","41","A",""
"Times-Bold","BS","42","B",""
"Times-Bold","BS","43","C",""
"Times-Bold","BS","44","D",""
"Times-Bold","BS","45","E",""
"Times-Bold","BS","46","F",""
"Times-Bold","BS","47","G",""
"Times-Bold","BS","48","H",""
"Times-Bold","BS","49","I",""
"Times-Bold","BS","4C","L",""
"Times-Bold","BS","4E","N",""
"Times-Bold","BS","4F","O",""
"Times-Bold","BS","52","R",""
"Times-Bold","BS","53","S",""
"Times-Bold","BS","54","T",""
"Times-Bold","BS","55","U",""
"Times-Bold","BS","56","V",""
"Times-Bold","BS","58","X",""
"Times-Bold","BS","5A","Z",""
"Times-Bold","BS","61","a",""
"Times-Bold","BS","62","b",""
"Times-Bold","BS","63","c",""
"Times-Bold","BS","64","d",""
"Times-Bold","BS","65","e",""
"Times-Bold","BS","66","f",""
"Times-Bold","BS","67","g",""
"Times-Bold","BS","68","h",""
"Times-Bold","BS","69","i",""
"Times-Bold","BS","6B","k",""
"Times-Bold","BS","6C","l",""
"Times-Bold","BS","6D","m",""
"Times-Bold","BS","6E","n",""
"Times-Bold","BS","6F","o",""
"Times-Bold","BS","70","p",""
"Times-Bold","BS","72","r",""
"Times-Bold","BS","73","s",""
"Times-Bold","BS","74","t",""
"Times-Bold","BS","75","u",""
"Times-Bold","BS","77","w",""
"Times-Bold","BS","78","x",""
"Times-Bold","BS","79","y",""
"Times-Bold","BS","7A","z",""
"Times-Bold","BS","96","–",""
"Times-Bold","BS","97","—",""
"Times-BoldItalic","BIS","20"," ",""
"Times-BoldItalic","BIS","41","A",""
"Times-BoldItalic","BIS","61","a",""
"Times-BoldItalic","BIS","63","c",""
"Times-BoldItalic","BIS","64","d",""
"Times-BoldItalic","BIS","65","e",""
"Times-BoldItalic","BIS","69","i",""
"Times-BoldItalic","BIS","6C","l",""
"Times-BoldItalic","BIS","6D","m",""
"Times-BoldItalic","BIS","6E","n",""
"Times-BoldItalic","BIS","6F","o",""
"Times-BoldItalic","BIS","72","r",""
"Times-BoldItalic","BIS","73","s",""
"Times-BoldItalic","BIS","74","t",""
"Times-BoldItalic","BIS","75","u",""
"Times-Italic","IS","20"," ",""
"Times-Italic","IS","2C",",",""
"Times-Italic","IS","2D","­",""
"Times-Italic","IS","2E",".",""
"Times-Italic","IS","30","0",""
"Times-Italic","IS","31","1",""
"Times-Italic","IS","32","2",""
"Times-Italic","IS","33","3",""
"Times-Italic","IS","34","4",""
"Times-Italic","IS","35","5",""
"Times-Italic","IS","37","7",""
"Times-Italic","IS","38","8",""
"Times-Italic","IS","39","9",""
"Times-Italic","IS","3A",":",""
"Times-Italic","IS","3B",";",""
"Times-Italic","IS","40","@",""
"Times-Italic","IS","41","A",""
"Times-Italic","IS","42","B",""
"Times-Italic","IS","43","C",""
"Times-Italic","IS","44","D",""
"Times-Italic","IS","45","E",""
"Times-Italic","IS","46","F",""
"Times-Italic","IS","47","G",""
"Times-Italic","IS","48","H",""
"Times-Italic","IS","49","I",""
"Times-Italic","IS","4A","J",""
"Times-Italic","IS","4B","K",""
"Times-Italic","IS","4C","L",""
"Times-Italic","IS","4D","M",""
"Times-Italic","IS","4E","N",""
"Times-Italic","IS","4F","O",""
"Times-Italic","IS","50","P",""
"Times-Italic","IS","51","Q",""
"Times-Italic","IS","52","R",""
"Times-Italic","IS","53","S",""
"Times-Italic","IS","54","T",""
"Times-Italic","IS","55","U",""
"Times-Italic","IS","56","V",""
"Times-Italic","IS","57","W",""
"Times-Italic","IS","5A","Z",""
"Times-Italic","IS","61","a",""
"Times-Italic","IS","62","b",""
"Times-Italic","IS","63","c",""
"Times-Italic","IS","64","d",""
"Times-Italic","IS","65","e",""
"Times-Italic","IS","66","f",""
"Times-Italic","IS","67","g",""
"Times-Italic","IS","68","h",""
"Times-Italic","IS","69","i",""
"Times-Italic","IS","6A","j",""
"Times-Italic","IS","6B","k",""
"Times-Italic","IS","6C","l",""
"Times-Italic","IS","6D","m",""
"Times-Italic","IS","6E","n",""
"Times-Italic","IS","6F","o",""
"Times-Italic","IS","70","p",""
"Times-Italic","IS","71","q",""
"Times-Italic","IS","72","r",""
"Times-Italic","IS","73","s",""
"Times-Italic","IS","74","t",""
"Times-Italic","IS","75","u",""
"Times-Italic","IS","76","v",""
"Times-Italic","IS","77","w",""
"Times-Italic","IS","78","x",""
"Times-Italic","IS","79","y",""
"Times-Italic","IS","E4","ä",""
"Times-Italic","IS","E9","é",""
"Times-Italic","IS","F1","ñ",""
"Times-Italic","IS","F6","ö",""
"Times-Italic","IS","FC","ü",""
"Times-Roman","S","20"," ",""
"Times-Roman","S","26","&",""
"Times-Roman","S","28","(",""
"Times-Roman","S","29",")",""
"Times-Roman","S","2C",",",""
"Times-Roman","S","2D","­",""
"Times-Roman","S","2E",".",""
"Times-Roman","S","2F","/",""
"Times-Roman","S","30","0",""
"Times-Roman","S","31","1",""
"Times-Roman","S","32","2",""
"Times-Roman","S","33","3",""
"Times-Roman","S","34","4",""
"Times-Roman","S","35","5",""
"Times-Roman","S","36","6",""
"Times-Roman","S","37","7",""
"Times-Roman","S","38","8",""
"Times-Roman","S","39","9",""
"Times-Roman","S","3A",":",""
"Times-Roman","S","3B",";",""
"Times-Roman","S","3C","<",""
"Times-Roman","S","3D","=",""
"Times-Roman","S","3E",">",""
"Times-Roman","S","3F","?",""
"Times-Roman","S","41","A",""
"Times-Roman","S","42","B",""
"Times-Roman","S","43","C",""
"Times-Roman","S","44","D",""
"Times-Roman","S","45","E",""
"Times-Roman","S","46","F",""
"Times-Roman","S","47","G",""
"Times-Roman","S","48","H",""
"Times-Roman","S","49","I",""
"Times-Roman","S","4A","J",""
"Times-Roman","S","4B","K",""
"Times-Roman","S","4C","L",""
"Times-Roman","S","4D","M",""
"Times-Roman","S","4E","N",""
"Times-Roman","S","4F","O",""
"Times-Roman","S","50","P",""
"Times-Roman","S","51","Q",""
"Times-Roman","S","52","R",""
"Times-Roman","S","53","S",""
"Times-Roman","S","54","T",""
"Times-Roman","S","55","U",""
"Times-Roman","S","56","V",""
"Times-Roman","S","57","W",""
"Times-Roman","S","58","X",""
"Times-Roman","S","59","Y",""
"Times-Roman","S","5A","Z",""
"Times-Roman","S","5B","[",""
"Times-Roman","S","5D","]",""
"Times-Roman","S","5F","_",""
"Times-Roman","S","61","a",""
"Times-Roman","S","62","b",""
"Times-Roman","S","63","c",""
"Times-Roman","S","64","d",""
"Times-Roman","S","65","e",""
"Times-Roman","S","66","f",""
"Times-Roman","S","67","g",""
"Times-Roman","S","68","h",""
"Times-Roman","S","69","i",""
"Times-Roman","S","6A","j",""
"Times-Roman","S","6B","k",""
"Times-Roman","S","6C","l",""
"Times-Roman","S","6D","m",""
"Times-Roman","S","6E","n",""
"Times-Roman","S","6F","o",""
"Times-Roman","S","70","p",""
"Times-Roman","S","71","q",""
"Times-Roman","S","72","r",""
"Times-Roman","S","73","s",""
"Times-Roman","S","74","t",""
"Times-Roman","S","75","u",""
"Times-Roman","S","76","v",""
"Times-Roman","S","77","w",""
"Times-Roman","S","78","x",""
"Times-Roman","S","79","y",""
"Times-Roman","S","7A","z",""
"Times-Roman","S","92","’",""
"Times-Roman","S","93","“",""
"Times-Roman","S","94","”",""
"Times-Roman","S","96","–",""
"Times-Roman","S","97","—",""
"Times-Roman","S","A9","©",""
"Times-Roman","S","B0","°",""
"Times-Roman","S","B1","±",""
"Times-Roman","S","E3","ã",""
"Times-Roman","S","E4","ä",""
"Times-Roman","S","E8","è",""
"Times-Roman","S","E9","é",""
"Times-Roman","S","ED","í",""
"Times-Roman","S","FC","ü",""
