"pageId","box","type","attributes"
"0","[259,1325,279,1993]","region",""
"0","[259,1325,279,1993]","column","lineHeight<25>"
"0","[264,1323,1414,1880]","region",""
"0","[264,1323,1414,1880]","block","lineHeight<26>"
"0","[264,1323,1414,1880]","paragraph","fontSize<11>indentation<none>lineHeight<26>textOrientation<justified>"
"0","[264,1324,913,1179]","region",""
"0","[264,1324,913,1179]","block","lineHeight<23>"
"0","[264,1324,913,1179]","paragraph","fontSize<10>indentation<none>lineHeight<23>textOrientation<justified>"
"0","[262,1325,279,380]","region",""
"0","[262,1325,279,380]","block","indentation<indent>lineHeight<33>"
"0","[262,1325,279,380]","paragraph","fontSize<9>indentation<indent>lineHeight<33>textOrientation<right>"
"0","[264,1322,659,750]","region",""
"0","[264,1322,659,750]","block","lineHeight<22>"
"0","[264,1281,528,607]","region",""
"0","[264,1281,528,607]","block","lineHeight<33>"
"0","[264,1281,528,607]","paragraph","fontSize<14>indentation<none>lineHeight<33>textOrientation<justified>"
"0","[264,1322,700,750]","paragraph","fontSize<9>indentation<none>lineHeight<20>textOrientation<justified>"
"0","[328,1322,311,359]","line","fontSize<10>"
"0","[264,1281,528,561]","line","fontSize<14>"
"0","[259,1322,1966,1993]","region",""
"0","[259,1322,1966,1993]","block","lineHeight<27>"
"0","[259,1322,1966,1993]","line","fontSize<9>"
"0","[259,1322,1966,1993]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<none>lineHeight<27>textOrientation<justified>"
"0","[264,1114,574,607]","line","fontSize<14>"
"0","[262,1325,354,380]","line","fontSize<8>"
"0","[264,1323,1454,1480]","line","fontSize<11>"
"0","[264,1323,1534,1560]","line","fontSize<11>"
"0","[264,1323,1574,1600]","line","fontSize<11>"
"0","[264,1323,1614,1640]","line","fontSize<11>"
"0","[264,1323,1654,1680]","line","fontSize<11>"
"0","[264,1323,1694,1720]","line","fontSize<11>"
"0","[264,1323,1734,1760]","line","fontSize<11>"
