"pageId","box","str","prevWord","nextWord","nextRelation","textStreamType","attributes"
"0","[328,406,282,303]","Zootaxa","","0.[425,464,282,303]","S","mainText","fontCharCodes<5A6F6F74617861>fontName<Times-Italic>fontSize<9>italics<true>"
"0","[425,464,282,303]","872","0.[328,406,282,303]","0.[464,468,282,303]","S","","fontCharCodes<383732>fontName<Times-Roman>fontSize<9>"
"0","[464,468,282,303]",":","0.[425,464,282,303]","0.[473,485,282,303]","S","","fontCharCodes<3A>fontName<Times-Roman>fontSize<9>"
"0","[473,485,282,303]","1","0.[464,468,282,303]","0.[485,498,280,304]","S","","fontCharCodes<31>fontName<Times-Roman>fontSize<9>"
"0","[485,498,280,304]","–","0.[473,485,282,303]","0.[498,522,282,303]","S","","fontCharCodes<96>fontName<Times-Roman>fontSize<10>"
"0","[498,522,282,303]","19","0.[485,498,280,304]","0.[534,541,282,303]","S","","fontCharCodes<3139>fontName<Times-Roman>fontSize<9>"
"0","[534,541,282,303]","(","0.[498,522,282,303]","0.[541,591,282,303]","S","","fontCharCodes<28>fontName<Times-Roman>fontSize<9>"
"0","[541,591,282,303]","2005","0.[534,541,282,303]","0.[591,598,282,303]","S","","fontCharCodes<32303035>fontName<Times-Roman>fontSize<9>"
"0","[591,598,282,303]",")","0.[541,591,282,303]","0.[1049,1095,279,298]","S","","fontCharCodes<29>fontName<Times-Roman>fontSize<9>"
"0","[1049,1095,279,298]","ISSN","0.[591,598,282,303]","0.[1100,1143,279,298]","S","","fontCharCodes<4953534E>fontName<Times-Roman>fontSize<8>"
"0","[1100,1143,279,298]","1175","0.[1049,1095,279,298]","0.[1143,1149,279,298]","S","","fontCharCodes<31313735>fontName<Times-Roman>fontSize<8>"
"0","[1143,1149,279,298]","­","0.[1100,1143,279,298]","0.[1149,1193,279,298]","S","","fontCharCodes<2D>fontName<Times-Roman>fontSize<8>"
"0","[1149,1193,279,298]","5326","0.[1143,1149,279,298]","0.[1204,1210,279,298]","S","","fontCharCodes<35333236>fontName<Times-Roman>fontSize<8>"
"0","[1204,1210,279,298]","(","0.[1149,1193,279,298]","0.[1210,1251,279,298]","S","","fontCharCodes<28>fontName<Times-Roman>fontSize<8>"
"0","[1210,1251,279,298]","print","0.[1204,1210,279,298]","0.[1257,1317,279,298]","S","","fontCharCodes<7072696E74>fontName<Times-Roman>fontSize<8>"
"0","[1257,1317,279,298]","edition","0.[1210,1251,279,298]","0.[1317,1323,279,298]","S","","fontCharCodes<65646974696F6E>fontName<Times-Roman>fontSize<8>"
"0","[1317,1323,279,298]",")","0.[1257,1317,279,298]","0.[328,382,311,332]","S","","fontCharCodes<29>fontName<Times-Roman>fontSize<8>"
"0","[328,382,311,332]","www","0.[1317,1323,279,298]","0.[382,386,311,332]","S","","fontCharCodes<777777>fontName<Times-Roman>fontSize<9>"
"0","[382,386,311,332]",".","0.[328,382,311,332]","0.[385,467,311,332]","S","","fontCharCodes<2E>fontName<Times-Roman>fontSize<9>"
"0","[385,467,311,332]","mapress","0.[382,386,311,332]","0.[467,471,311,332]","S","","fontCharCodes<6D617072657373>fontName<Times-Roman>fontSize<9>"
"0","[467,471,311,332]",".","0.[385,467,311,332]","0.[469,512,311,332]","S","","fontCharCodes<2E>fontName<Times-Roman>fontSize<9>"
"0","[469,512,311,332]","com","0.[467,471,311,332]","0.[512,517,313,332]","S","","fontCharCodes<636F6D>fontName<Times-Roman>fontSize<9>"
"0","[512,517,313,332]","/","0.[469,512,311,332]","0.[517,592,311,332]","S","","fontCharCodes<2F>fontName<Times-Roman>fontSize<8>"
"0","[517,592,311,332]","zootaxa","0.[512,517,313,332]","0.[592,598,313,332]","S","","fontCharCodes<7A6F6F74617861>fontName<Times-Roman>fontSize<9>"
"0","[592,598,313,332]","/","0.[517,592,311,332]","0.[1052,1322,311,359]","S","","fontCharCodes<2F>fontName<Times-Roman>fontSize<8>"
"0","[1052,1322,311,359]","ZOOTAXA","0.[592,598,313,332]","0.[262,360,354,375]","S","","bold<true>fontCharCodes<5A4F4F54415841>fontName<Times-Bold>fontSize<20>"
"0","[262,360,354,375]","Copyright","0.[1052,1322,311,359]","0.[366,384,354,375]","S","","fontCharCodes<436F70797269676874>fontName<Times-Roman>fontSize<9>"
"0","[366,384,354,375]","©","0.[262,360,354,375]","0.[390,438,354,375]","S","","fontCharCodes<A9>fontName<Times-Roman>fontSize<9>"
"0","[390,438,354,375]","2005","0.[366,384,354,375]","0.[450,542,354,375]","S","","fontCharCodes<32303035>fontName<Times-Roman>fontSize<9>"
"0","[450,542,354,375]","Magnolia","0.[390,438,354,375]","0.[548,598,354,375]","S","","fontCharCodes<4D61676E6F6C6961>fontName<Times-Roman>fontSize<9>"
"0","[548,598,354,375]","Press","0.[450,542,354,375]","0.[1046,1093,362,380]","S","","fontCharCodes<5072657373>fontName<Times-Roman>fontSize<9>"
"0","[1046,1093,362,380]","ISSN","0.[548,598,354,375]","0.[1096,1138,362,380]","S","","fontCharCodes<4953534E>fontName<Times-Roman>fontSize<8>"
"0","[1096,1138,362,380]","1175","0.[1046,1093,362,380]","0.[1138,1144,362,380]","S","","fontCharCodes<31313735>fontName<Times-Roman>fontSize<8>"
"0","[1138,1144,362,380]","­","0.[1096,1138,362,380]","0.[1144,1188,362,380]","S","","fontCharCodes<2D>fontName<Times-Roman>fontSize<8>"
"0","[1144,1188,362,380]","5334","0.[1138,1144,362,380]","0.[1193,1199,362,380]","S","","fontCharCodes<35333334>fontName<Times-Roman>fontSize<8>"
"0","[1193,1199,362,380]","(","0.[1144,1188,362,380]","0.[1199,1253,362,380]","S","","fontCharCodes<28>fontName<Times-Roman>fontSize<8>"
"0","[1199,1253,362,380]","online","0.[1193,1199,362,380]","0.[1259,1319,362,380]","S","","fontCharCodes<6F6E6C696E65>fontName<Times-Roman>fontSize<8>"
"0","[1259,1319,362,380]","edition","0.[1199,1253,362,380]","0.[1319,1325,362,380]","S","","fontCharCodes<65646974696F6E>fontName<Times-Roman>fontSize<8>"
"0","[1319,1325,362,380]",")","0.[1259,1319,362,380]","0.[264,332,528,561]","P","","fontCharCodes<29>fontName<Times-Roman>fontSize<8>"
"0","[264,332,528,561]","Two","0.[1319,1325,362,380]","0.[341,501,528,561]","S","","bold<true>fontCharCodes<54776F>fontName<Times-Bold>fontSize<14>"
"0","[341,501,528,561]","sympatric","0.[264,332,528,561]","0.[510,620,528,561]","S","","bold<true>fontCharCodes<73796D706174726963>fontName<Times-Bold>fontSize<14>"
"0","[510,620,528,561]","species","0.[341,501,528,561]","0.[629,660,528,561]","S","","bold<true>fontCharCodes<73706563696573>fontName<Times-Bold>fontSize<14>"
"0","[629,660,528,561]","of","0.[510,620,528,561]","0.[670,869,528,561]","S","","bold<true>fontCharCodes<6F66>fontName<Times-Bold>fontSize<14>"
"0","[670,869,528,561]","Antrodiaetus","0.[629,660,528,561]","0.[878,956,528,561]","S","","bold<true>fontCharCodes<416E74726F64696165747573>fontName<Times-BoldItalic>fontSize<14>italics<true>"
"0","[878,956,528,561]","from","0.[670,869,528,561]","0.[966,1177,528,561]","S","","bold<true>fontCharCodes<66726F6D>fontName<Times-Bold>fontSize<14>"
"0","[966,1177,528,561]","southwestern","0.[878,956,528,561]","0.[1186,1281,528,561]","S","","bold<true>fontCharCodes<736F7574687765737465726E>fontName<Times-Bold>fontSize<14>"
"0","[1186,1281,528,561]","North","0.[966,1177,528,561]","0.[264,404,574,607]","S","","bold<true>fontCharCodes<4E6F727468>fontName<Times-Bold>fontSize<14>"
"0","[264,404,574,607]","Carolina","0.[1186,1281,528,561]","0.[414,425,574,607]","S","","bold<true>fontCharCodes<4361726F6C696E61>fontName<Times-Bold>fontSize<14>"
"0","[414,425,574,607]","(","0.[264,404,574,607]","0.[425,563,574,607]","S","","bold<true>fontCharCodes<28>fontName<Times-Bold>fontSize<14>"
"0","[425,563,574,607]","Araneae","0.[414,425,574,607]","0.[563,570,574,607]","S","","bold<true>fontCharCodes<4172616E656165>fontName<Times-Bold>fontSize<14>"
"0","[563,570,574,607]",",","0.[425,563,574,607]","0.[580,845,574,607]","S","","bold<true>fontCharCodes<2C>fontName<Times-Bold>fontSize<14>"
"0","[580,845,574,607]","Mygalomorphae","0.[563,570,574,607]","0.[845,852,574,607]","S","","bold<true>fontCharCodes<4D7967616C6F6D6F7270686165>fontName<Times-Bold>fontSize<14>"
